title,artist_name,track_mbid,date,length,genre_dortmund,genre_rosamerica,genre_tzanetakis,sad,happy,party,relaxed,acoustic,danceable,tonal,bright,instrumental,decada,longitud_titulo,pca_1,pca_2,pca_3,pca_4,pca_5,cluster,anomaly
Looking for Freedom,David Hasselhoff,00eae143-0cc3-4736-8531-a2bfd092fb03,2019,3.906176757816666,Electronic,Rock,Jazz,0.0683167502284,0.0462561063468,0.86121237278,0.032336037606,0.00610592123121,0.221055477858,0.616433560848,0.96961504221,0.0170851275325,2010,19,-2.1990398585708433,0.5502839885401816,1.2492236455694534,0.126453272923476,0.27015457907459006,0,1
Make Me Feel,Janelle Monáe,0e2dd103-fbcd-4caa-b316-9c201f89edc3,2018,3.2448888142833336,Electronic,Rhythmic,Jazz,0.157656058669,0.190867185593,0.429384112358,0.73205691576,0.00639299722388,0.999994456768,1.0826099242e-05,0.034937441349,0.671499669552,2010,12,-2.076869130954933,-2.0887856044357327,-0.09692843305007416,-0.9229686345718254,-0.15597087497977438,0,1
Fake Love (Folk Songs from Florida),Greenland Is Melting,0c461757-039b-4b54-9a92-87dc32b88e58,2009,2.315755208333333,Alternative,Pop,Jazz,0.611770451069,0.940108060837,0.215728923678,0.360827296972,0.714895665646,0.512583076954,0.990614295006,0.894818305969,0.0330353043973,2000,35,0.8912953855379394,1.9646367133708065,1.8442561688289139,0.7606660296363841,1.0377112702385427,1,1
The death of Rock conclusion (JM harp),The Doors,00c01c5f-3b65-45b3-b4a9-b4a61b61ba07,1969,1.9008435567166664,Blues,Jazz,Jazz,0.132816001773,0.163415387273,0.344467252493,0.242951661348,0.0153398569673,0.116185203195,0.0761617124081,0.00086501048645,0.843828320503,1960,38,-0.653381294614565,0.40934078947801,-3.5064198371987687,-0.3573961958162969,1.6504940921782312,0,1
Wanderlust,Marc DePulse & Rafael Cerato,0b1567c3-89e1-42d6-b7d3-d9f0cd7f14d4,2017,7.32995910645,Electronic,Dance,Jazz,0.240106269717,0.237477138638,0.986588180065,0.127605021,1.33257049129e-06,0.999999880791,4.43380758952e-06,0.531949162483,0.176752582192,2010,10,-3.382419627607207,-0.8246109203794829,0.09535290165620461,0.12359935435239415,-0.34704042568608856,0,1
Call In the Night Boy,Talk Talk,0c7148ab-167e-496e-9b34-0868a230154d,2008,3.791891225183333,Electronic,Pop,Jazz,0.0634750798345,0.731799423695,0.342018723488,0.338843882084,0.00625011511147,0.989785134792,0.259067475796,0.762139797211,0.0250152498484,2000,21,-2.1595017268436854,0.9427676855475701,0.5613255991956818,0.15455047887651244,0.3443839873737117,0,1
Unknown Album,Manuel Rocca,0f1da0eb-8e0f-485b-85c5-212062ea2d22,2020,7.067428588866666,Electronic,Dance,Jazz,0.288908749819,0.438819110394,1.57784197654e-05,0.808817088604,0.0955897420645,3.00000096379e-14,0.0162308625877,0.00702011538669,0.381055861712,2020,13,-0.4820953249032211,-2.408490752321264,0.3107297834738791,-0.2969335920285809,-0.09203881738066569,0,1
Joe Blues,ZZ Top,01eb2f92-8f6a-4f1f-9fff-4bfbe7afd4e5,2003,7.590312703449999,Electronic,Rhythmic,Jazz,0.351727515459,0.257572710514,0.249406039715,0.351932615042,0.696086883545,0.384372860193,0.943093299866,0.946483910084,0.981880009174,2000,9,0.5574414111917234,-0.19133671977672712,-0.03177270733417671,1.6626187969498252,-2.0715240337816465,1,1
Changes of Love,Earl Thomas Conley,0eda28c7-6ca3-4d3b-88fe-753e89c6ba4f,1983,2.9128888448,Electronic,Rhythmic,Jazz,0.684544205666,0.555424332619,1.57784197654e-05,0.808817088604,0.0867920741439,3.00000096379e-14,0.994306206703,0.993325769901,0.0985677689314,1980,15,1.8824261848915527,1.9641112737830708,-0.1058144296332037,-0.2723020919659526,-0.28286642015861185,1,1
1962: Body Building,Philip Glass,00f4fbab-404e-4b96-8c8b-59abfca59f9b,2002,1.4976870218916667,Folkcountry,Classic,Jazz,0.743513345718,0.3799739182,0.0185108277947,0.996428787708,0.982478260994,0.0140841696411,0.80184417963,0.933285653591,0.99999243021,2000,19,3.1027708151063402,-0.11438802400670571,0.7220795427921756,0.008853171005804223,-0.5316912916959603,1,1
Seven Tears,Goombay Dance Band,0cbe7f79-1928-405e-ad6e-e55296cd5540,2019,3.86046269735,Electronic,Pop,Jazz,0.557621598244,0.633685469627,0.422293335199,0.328935563564,0.271647870541,0.79896658659,0.147668451071,0.589950680733,0.00193498993758,2010,11,-1.2259580135904569,0.053045230979654634,1.2816080766616502,-0.7613631312326795,0.15577376881497104,0,1
Eden,Jürgen Paape,0d3dd706-8f39-40b9-8e2f-f5d8d8dc6185,2016,5.076462809250001,Electronic,Rhythmic,Jazz,0.264073699713,0.507681310177,0.565292000771,0.988526940346,0.0819071680307,0.99305087328,0.025137392804,0.202840700746,0.999999821186,2010,4,-1.71821489729356,-2.0102303458147794,-0.2511930371858026,-0.22539555144919787,-1.2522370104167806,0,1
